Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21,MIA,28,408,15.1,.599,.000,.541,10.5,19.8,15.4,6.8,1.4,3.8,16.1,19.7,0.3,0.6,0.9,.101,-2.8,-0.2,-3.0,-0.1
Jaylen Adams,PG,24,MIL,6,17,-6.9,.125,.250,.000,0.0,18.2,9.4,13.4,0.0,0.0,0.0,19.7,-0.1,0.0,-0.1,-0.265,-15.6,-5.2,-20.9,-0.1
Steven Adams,C,27,NOP,27,760,15.9,.592,.006,.397,16.9,18.0,17.5,10.1,1.7,2.0,20.1,12.8,1.2,0.5,1.7,.109,-0.1,-1.0,-1.1,0.2
Bam Adebayo,C,23,MIA,26,873,22.7,.641,.015,.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,.196,2.9,2.0,4.9,1.5
LaMarcus Aldridge,C,35,SAS,18,480,15.2,.542,.298,.093,3.2,14.0,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,.075,0.3,-1.0,-0.7,0.2
Ty-Shon Alexander,SG,22,PHO,3,8,-11.9,.000,.333,.000,0.0,13.6,6.9,14.7,0.0,0.0,0.0,16.8,-0.1,0.0,-0.1,-0.327,-16.4,-4.8,-21.2,0.0
Nickeil Alexander-Walker,SG,22,NOP,23,441,12.0,.502,.463,.170,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,.025,-2.6,0.1,-2.5,-0.1
Grayson Allen,SG,25,MEM,19,454,14.0,.630,.721,.264,1.7,12.0,6.7,11.5,2.0,0.6,11.3,16.5,0.7,0.4,1.1,.113,0.4,0.1,0.5,0.3
Jarrett Allen,C,22,TOT,28,734,22.5,.695,.021,.695,12.6,25.5,19.1,9.0,0.9,5.5,14.8,17.1,2.3,0.8,3.1,.203,2.3,0.4,2.7,0.9
Jarrett Allen,C,22,BRK,12,320,21.3,.730,.000,.938,14.2,28.8,21.9,8.2,1.0,4.9,19.3,15.4,1.0,0.4,1.4,.210,1.3,0.6,1.9,0.3
Jarrett Allen,C,22,CLE,16,414,23.5,.675,.032,.568,11.4,23.0,17.0,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,.197,3.2,0.2,3.4,0.6
Al-Farouq Aminu,PF,30,ORL,2,16,7.5,.798,1.000,2.000,6.2,20.3,13.0,16.7,0.0,0.0,51.5,10.3,0.0,0.0,0.0,-0.034,-3.4,0.1,-3.3,0.0
Kyle Anderson,PF,27,MEM,24,675,17.8,.579,.401,.249,3.5,21.5,12.2,19.4,1.9,2.5,10.7,20.1,1.1,0.8,1.9,.134,1.9,1.1,2.9,0.8
Giannis Antetokounmpo,PF,26,MIL,27,906,28.3,.620,.216,.540,5.6,29.8,18.0,27.5,1.8,3.5,13.9,33.0,2.7,1.5,4.3,.226,5.2,2.0,7.2,2.1
Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,.000,.000,.000,0.0,54.1,28.0,0.0,0.0,21.3,50.0,21.7,-0.1,0.0,-0.1,-0.407,-19.3,2.0,-17.3,0.0
Thanasis Antetokounmpo,SF,28,MIL,18,149,10.3,.688,.269,.269,9.5,12.5,11.0,12.2,1.6,1.8,34.0,12.4,0.1,0.2,0.2,.079,-3.3,0.1,-3.2,0.0
Carmelo Anthony,PF,36,POR,27,683,13.8,.515,.386,.241,2.2,12.9,7.3,7.7,1.5,2.9,6.7,23.5,0.3,0.4,0.7,.047,-1.2,-1.8,-3.1,-0.2
Cole Anthony,PG,20,ORL,25,667,10.3,.469,.309,.204,3.0,14.7,8.6,21.4,1.2,1.5,14.8,22.0,-0.6,0.6,0.0,.000,-3.0,-1.1,-4.1,-0.4
OG Anunoby,SF,23,TOR,18,619,14.7,.632,.548,.258,5.0,14.2,9.5,6.5,2.8,1.6,13.0,16.4,0.8,0.7,1.5,.118,0.3,0.9,1.1,0.5
Ryan Arcidiacono,PG,26,CHI,11,107,11.2,.534,.667,.208,1.1,21.4,11.4,20.1,1.3,0.0,7.1,11.2,0.2,0.1,0.3,.119,-2.5,0.9,-1.6,0.0
D.J. Augustin,PG,33,MIL,27,480,10.8,.514,.642,.277,2.5,4.7,3.6,20.0,1.3,0.2,12.5,15.3,0.6,0.3,0.8,.083,-0.5,-1.6,-2.2,0.0
Deni Avdija,SF,20,WAS,22,503,8.9,.534,.576,.144,2.4,20.7,11.2,9.4,1.6,0.7,11.4,13.0,0.1,0.4,0.5,.044,-2.9,-0.6,-3.5,-0.2
Deandre Ayton,C,22,PHO,27,866,17.7,.617,.058,.219,13.0,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,.148,-0.5,-0.3,-0.8,0.2
Udoka Azubuike,C,21,UTA,12,49,10.6,.622,.000,.857,9.1,18.6,14.1,0.0,1.0,6.5,23.7,11.1,0.0,0.1,0.1,.114,-5.5,1.2,-4.3,0.0
Dwayne Bacon,SG,25,ORL,29,721,10.7,.513,.297,.197,1.7,11.8,6.5,6.4,1.5,0.4,6.2,19.1,0.1,0.6,0.7,.046,-2.9,-0.9,-3.8,-0.3
Marvin Bagley III,PF,21,SAC,25,623,13.9,.530,.260,.268,9.0,23.4,16.2,5.3,0.9,1.6,11.0,23.1,0.0,0.2,0.3,.020,-1.8,-2.8,-4.6,-0.4
LaMelo Ball,PG,19,CHO,28,776,18.2,.542,.414,.198,5.8,18.2,11.9,33.8,2.7,1.3,16.5,24.8,0.8,1.0,1.8,.113,1.8,1.0,2.8,0.9
Lonzo Ball,PG,23,NOP,25,772,14.2,.554,.622,.089,2.3,13.2,7.8,21.5,2.0,1.6,13.9,20.2,0.8,0.5,1.2,.077,0.3,-0.4,-0.2,0.4
Mo Bamba,C,22,ORL,13,113,23.4,.560,.278,.093,14.1,31.6,22.5,6.3,0.9,8.0,6.6,22.7,0.2,0.2,0.4,.166,2.0,0.3,2.3,0.1
Desmond Bane,SG,22,MEM,20,456,12.6,.631,.548,.110,2.1,10.9,6.4,9.8,1.4,0.6,12.4,17.3,0.5,0.3,0.8,.080,-0.6,-0.9,-1.5,0.1
Harrison Barnes,PF,28,SAC,27,948,15.7,.615,.392,.389,3.3,16.2,9.7,13.2,1.1,0.4,9.9,17.3,2.0,0.1,2.0,.102,1.6,-1.5,0.1,0.5
RJ Barrett,SG,20,NYK,30,1012,13.1,.504,.233,.275,4.1,15.0,9.6,14.7,1.1,0.6,10.4,23.9,0.0,1.2,1.2,.058,-1.6,-0.6,-2.2,0.0
Will Barton,SF,30,DEN,25,744,11.6,.540,.396,.176,1.8,12.4,7.1,14.7,1.3,1.4,12.4,17.9,0.4,0.5,0.9,.060,-0.9,-1.3,-2.2,0.0
Keita Bates-Diop,SF,25,SAS,8,27,0.3,.215,.444,.667,3.7,7.9,5.8,8.6,1.8,0.0,0.0,18.5,-0.1,0.0,-0.1,-0.151,-8.2,-4.4,-12.5,-0.1
Nicolas Batum,SF,32,LAC,27,806,14.8,.670,.683,.164,3.4,14.6,9.2,10.3,2.3,1.1,8.8,11.8,1.8,1.0,2.7,.163,1.5,0.5,2.0,0.8
Aron Baynes,C,34,TOR,25,470,8.4,.463,.370,.062,8.4,23.9,15.9,7.5,0.7,1.7,11.8,15.4,-0.1,0.4,0.3,.031,-4.3,-1.4,-5.7,-0.4
Kent Bazemore,SF,31,GSW,27,448,14.7,.647,.462,.227,3.1,16.3,9.8,13.6,2.3,3.1,16.2,16.4,0.5,0.7,1.2,.133,-0.8,2.2,1.5,0.4
Darius Bazley,PF,20,OKC,28,872,9.6,.489,.455,.186,1.8,22.7,12.4,8.7,0.7,2.0,12.3,19.8,-1.1,1.0,-0.1,-0.003,-3.1,-0.9,-4.0,-0.4
Bradley Beal,SG,27,WAS,24,846,24.8,.591,.308,.348,3.9,11.7,7.7,25.0,1.7,1.2,10.1,36.2,2.0,0.5,2.5,.141,6.3,-1.4,4.9,1.5
Malik Beasley,SG,24,MIN,29,951,16.7,.581,.510,.142,2.8,13.7,8.0,12.7,1.2,0.4,8.4,25.2,1.2,0.4,1.6,.081,2.5,-2.1,0.5,0.6
Jordan Bell,C,26,WAS,3,50,8.0,.333,.133,.000,10.1,23.9,16.8,13.3,0.9,5.2,16.7,14.9,-0.1,0.1,0.0,-0.037,-5.1,-1.2,-6.3,-0.1
DeAndre' Bembry,SF,26,TOR,19,261,13.2,.671,.259,.204,3.3,9.6,6.4,16.1,2.2,2.0,16.9,11.6,0.4,0.2,0.7,.123,-1.0,1.2,0.2,0.1
Dāvis Bertāns,PF,28,WAS,23,593,11.5,.589,.891,.257,1.7,11.3,6.4,5.4,1.3,1.0,5.5,16.6,0.7,0.3,1.0,.082,0.2,-1.5,-1.3,0.1
Patrick Beverley,PG,32,LAC,20,483,13.7,.603,.637,.234,4.8,14.5,9.8,11.7,2.0,2.8,9.9,13.9,0.9,0.6,1.5,.151,-0.1,0.9,0.8,0.3
Saddiq Bey,SF,21,DET,26,529,13.0,.593,.665,.253,2.2,18.6,10.1,7.4,1.3,0.2,8.6,18.1,0.6,0.4,1.0,.092,0.6,-0.7,-0.1,0.3
Tyler Bey,SF,22,DAL,4,13,14.0,.444,.000,.800,16.8,8.5,12.7,0.0,0.0,7.3,0.0,22.8,0.0,0.0,0.0,.057,-1.1,-3.4,-4.5,0.0
Khem Birch,C,28,ORL,29,631,16.1,.577,.086,.443,12.6,15.9,14.2,7.8,1.5,3.0,10.2,12.6,1.2,0.7,1.9,.147,-0.8,-0.4,-1.2,0.1
Goga Bitadze,C,21,IND,13,124,18.3,.635,.316,.316,8.1,17.5,12.9,3.5,1.2,9.8,8.5,16.5,0.2,0.2,0.4,.173,-2.1,2.2,0.1,0.1
Bismack Biyombo,C,28,CHO,26,585,12.6,.569,.008,.395,10.2,17.4,13.8,8.0,0.5,5.5,14.1,11.8,0.6,0.6,1.2,.099,-2.4,-0.5,-2.9,-0.1
Nemanja Bjelica,PF,32,SAC,13,211,12.6,.567,.388,.418,6.2,19.4,12.7,18.0,0.0,0.8,16.8,19.3,0.2,0.0,0.2,.049,-1.4,-1.9,-3.4,-0.1
Eric Bledsoe,SG,31,NOP,27,780,12.6,.556,.518,.190,1.8,11.8,6.8,17.7,1.1,0.9,13.2,19.4,0.7,0.2,0.9,.055,-0.3,-1.7,-2.1,0.0
Keljin Blevins,SF,25,POR,8,38,-6.0,.111,.333,.000,0.0,0.0,0.0,12.7,2.6,0.0,25.0,13.5,-0.2,0.0,-0.2,-0.238,-12.3,-3.3,-15.6,-0.1
Bogdan Bogdanović,SG,28,ATL,9,213,9.9,.543,.744,.115,1.0,16.0,8.6,13.2,0.9,0.4,11.8,18.6,0.1,0.1,0.2,.045,-0.8,-1.3,-2.1,0.0
Bojan Bogdanović,SF,31,UTA,29,891,12.3,.567,.544,.251,1.7,11.5,6.8,9.9,0.7,0.1,10.1,20.9,1.0,0.9,2.0,.105,-0.5,-1.1,-1.7,0.1
Bol Bol,PF,21,DEN,12,65,4.7,.504,.375,.125,0.0,15.7,7.8,4.0,0.8,5.9,22.9,14.6,-0.1,0.1,-0.1,-0.041,-6.1,-1.0,-7.2,-0.1
Marques Bolden,C,22,CLE,6,29,13.4,.537,.000,2.667,11.1,11.9,11.5,0.0,3.4,6.3,23.5,12.6,0.0,0.0,0.0,.061,-3.4,0.6,-2.8,0.0
Jordan Bone,PG,23,ORL,14,196,9.0,.519,.593,.000,2.0,11.0,6.3,13.3,0.5,0.0,5.3,12.4,0.2,0.1,0.3,.062,-2.6,-1.6,-4.2,-0.1
Isaac Bonga,SF,21,WAS,17,230,5.0,.523,.611,.083,3.5,14.2,8.6,4.9,0.8,1.5,15.8,8.0,0.0,0.1,0.1,.021,-4.6,-1.6,-6.2,-0.2
Devin Booker,SG,24,PHO,23,810,17.2,.593,.317,.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,.082,0.2,-1.1,-0.9,0.2
Chris Boucher,C,28,TOR,28,654,23.4,.650,.405,.365,9.0,23.5,16.0,7.0,1.0,9.2,6.1,20.3,2.1,1.0,3.1,.226,3.5,0.3,3.8,1.0
Brian Bowen,SF,22,IND,1,5,17.8,.615,.000,.500,0.0,21.7,11.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,.160,0.5,-2.4,-1.8,0.0
Avery Bradley,SG,30,MIA,10,211,10.4,.607,.576,.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,0.1,0.2,0.3,.071,-2.7,-0.6,-3.2,-0.1
Tony Bradley,C,23,PHI,10,117,20.3,.537,.028,.139,20.4,26.3,23.4,7.3,1.2,4.6,2.6,14.1,0.3,0.2,0.5,.207,1.9,-0.6,1.3,0.1
Jarrell Brantley,PF,24,UTA,8,22,10.3,.563,.750,.000,5.0,13.8,9.6,0.0,2.2,3.6,11.1,17.5,0.0,0.0,0.0,.097,-2.3,0.9,-1.5,0.0
Ignas Brazdeikis,SF,22,NYK,4,7,11.4,.532,.000,2.000,15.2,14.7,15.0,17.8,0.0,0.0,34.7,18.2,0.0,0.0,0.0,.030,-2.9,-1.9,-4.8,0.0
Mikal Bridges,SF,24,PHO,27,898,16.3,.634,.489,.243,4.7,12.9,8.9,9.1,0.9,2.6,6.2,16.0,2.0,1.0,3.1,.164,2.1,0.5,2.5,1.0
Miles Bridges,PF,22,CHO,28,747,12.0,.581,.442,.147,5.2,18.1,11.6,10.2,1.3,3.0,17.0,16.4,0.3,0.8,1.1,.070,-1.8,-0.3,-2.1,0.0
Malcolm Brogdon,PG,28,IND,29,1045,18.3,.548,.365,.159,2.4,12.3,7.4,28.1,1.7,0.7,9.5,26.2,1.5,1.0,2.5,.115,3.0,-1.1,2.0,1.0
Dillon Brooks,SF,25,MEM,24,700,10.3,.485,.389,.135,3.8,8.6,6.1,13.2,2.2,1.2,12.3,27.1,-0.9,0.6,-0.3,-0.022,-3.5,-2.1,-5.6,-0.6
Bruce Brown,PG,24,BRK,26,498,12.8,.590,.172,.227,7.9,17.2,12.8,7.1,1.6,1.7,13.5,14.1,0.5,0.4,0.9,.091,-2.1,-0.8,-2.8,-0.1
Jaylen Brown,SG,24,BOS,26,868,22.3,.598,.303,.246,3.9,14.9,9.2,19.5,1.7,1.6,11.6,31.4,1.7,0.9,2.6,.146,4.9,-0.5,4.4,1.4
Moses Brown,C,21,OKC,7,31,33.5,.650,.000,1.400,13.6,36.5,25.2,16.4,1.5,11.3,5.8,24.0,0.1,0.1,0.2,.340,5.3,3.8,9.1,0.1
Sterling Brown,SG,25,HOU,26,556,12.9,.590,.613,.063,3.8,15.6,9.6,12.0,2.1,1.1,9.4,13.9,0.7,0.8,1.5,.127,-1.0,1.0,0.0,0.3
Troy Brown Jr.,SF,21,WAS,13,205,5.4,.461,.581,.194,3.9,19.6,11.5,8.5,0.5,0.8,15.1,16.0,-0.2,0.1,-0.1,-0.034,-4.1,-2.3,-6.3,-0.2
Jalen Brunson,PG,24,DAL,24,578,16.4,.626,.340,.270,0.9,13.6,7.2,22.6,0.8,0.0,11.5,19.2,1.3,0.2,1.5,.121,1.2,-1.8,-0.6,0.2
Thomas Bryant,C,23,WAS,10,271,18.8,.704,.231,.264,6.7,17.2,11.8,8.7,0.7,2.6,9.8,17.2,0.7,0.2,0.9,.157,2.1,-1.7,0.4,0.2
Reggie Bullock,SF,29,NYK,25,669,8.9,.540,.605,.084,1.1,12.3,6.8,7.4,1.3,0.9,8.4,14.2,0.2,0.8,1.0,.074,-2.4,0.7,-1.7,0.1
Trey Burke,PG,28,DAL,27,466,13.7,.571,.511,.152,0.9,6.2,3.5,13.7,2.2,0.4,7.3,19.3,0.6,0.2,0.8,.080,-0.4,0.0,-0.4,0.2
Alec Burks,SG,29,NYK,18,459,13.5,.550,.543,.265,2.1,16.6,9.5,12.5,1.6,1.1,10.0,19.3,0.4,0.7,1.0,.107,0.3,0.2,0.5,0.3
Jimmy Butler,SF,31,MIA,16,527,24.2,.559,.110,.612,6.5,19.0,13.1,36.8,2.9,1.2,10.9,26.4,1.5,0.8,2.3,.213,3.3,2.5,5.8,1.0
Bruno Caboclo,PF,25,HOU,6,36,9.2,.475,.294,.118,8.7,32.7,20.6,4.7,0.0,4.8,18.3,25.9,-0.1,0.1,0.0,-0.055,-8.5,-2.1,-10.6,-0.1
Devontae Cacok,PF,24,LAL,1,2,38.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,.342,14.1,3.9,18.0,0.0
Kentavious Caldwell-Pope,SG,27,LAL,25,627,9.8,.589,.548,.161,1.5,8.3,5.0,7.0,1.5,1.1,11.8,14.1,0.4,0.9,1.3,.101,-1.6,-0.1,-1.7,0.1
Facundo Campazzo,PG,29,DEN,25,350,12.1,.561,.667,.302,1.6,4.9,3.2,17.8,3.2,1.1,13.5,15.6,0.4,0.4,0.8,.104,-1.8,0.5,-1.3,0.1
Vlatko Čančar,PF,23,DEN,13,45,2.1,.269,.571,.143,7.5,22.7,15.1,2.7,4.4,4.3,25.2,19.2,-0.2,0.1,-0.1,-0.158,-9.6,-0.7,-10.3,-0.1
Clint Capela,C,26,ATL,25,732,23.1,.582,.000,.282,17.0,34.4,25.8,5.4,1.3,6.4,10.2,19.9,1.4,1.3,2.7,.179,2.0,0.4,2.4,0.8
Vernon Carey Jr.,C,19,CHO,3,6,29.8,.387,.333,.667,35.0,18.1,26.7,24.5,0.0,16.8,0.0,27.5,0.0,0.0,0.0,.197,7.5,-0.1,7.4,0.0
Jevon Carter,PG,25,PHO,23,256,8.3,.447,.671,.027,1.3,12.3,6.9,13.5,1.9,2.1,6.3,13.8,0.0,0.3,0.3,.056,-3.5,2.1,-1.3,0.0
Wendell Carter Jr.,C,21,CHI,16,425,17.1,.613,.109,.522,9.3,22.9,16.2,11.8,1.2,2.3,15.4,20.1,0.7,0.5,1.2,.134,-1.0,-0.4,-1.4,0.1
Michael Carter-Williams,SG,29,ORL,10,246,8.2,.418,.207,.280,7.3,12.7,9.9,17.6,1.0,1.5,14.8,18.7,-0.3,0.2,-0.1,-0.014,-4.9,-0.8,-5.7,-0.2
Alex Caruso,PG,26,LAL,22,412,11.5,.596,.515,.124,3.1,11.0,7.2,16.0,2.6,0.8,19.6,13.4,0.3,0.8,1.0,.122,-1.5,2.2,0.7,0.3
Willie Cauley-Stein,C,27,DAL,26,454,14.8,.646,.051,.444,7.9,21.2,14.5,6.2,1.0,4.0,10.6,12.8,0.9,0.4,1.3,.137,-1.8,0.5,-1.4,0.1
Chris Chiozza,PG,25,BRK,12,111,10.7,.414,.439,.268,3.2,7.6,5.6,31.7,1.7,2.2,14.9,21.0,0.0,0.1,0.0,.014,-2.9,-1.5,-4.4,-0.1
Marquese Chriss,PF,23,GSW,2,27,11.9,.412,.357,.286,11.8,38.0,25.2,11.0,0.0,6.5,11.3,27.9,-0.1,0.1,0.0,-0.023,-2.2,-1.0,-3.2,0.0
Gary Clark,SF,26,ORL,26,545,5.3,.423,.853,.069,5.3,12.7,8.8,5.8,0.8,0.8,12.5,9.4,-0.2,0.4,0.2,.014,-4.3,-1.2,-5.5,-0.5
Brandon Clarke,PF,24,MEM,20,543,16.6,.539,.162,.185,6.3,16.5,11.3,9.8,2.1,2.5,5.5,19.9,0.6,0.6,1.2,.107,-0.3,0.0,-0.3,0.2
Jordan Clarkson,SG,28,UTA,29,760,19.0,.588,.575,.112,3.9,12.3,8.3,13.5,1.8,0.7,10.7,28.4,1.2,1.1,2.3,.145,3.4,-0.4,3.0,1.0
Amir Coffey,SG,23,LAC,19,154,10.1,.637,.525,.225,2.3,8.5,5.5,7.1,1.3,0.0,15.4,14.9,0.1,0.1,0.2,.065,-1.7,-1.1,-2.8,0.0
John Collins,PF,23,ATL,28,884,19.3,.635,.261,.228,7.5,18.2,12.9,8.4,0.7,2.7,8.9,21.2,2.2,0.8,3.0,.162,2.2,-0.4,1.8,0.8
Mike Conley,PG,33,UTA,23,674,19.8,.593,.536,.223,3.8,9.2,6.6,30.2,2.3,0.2,12.6,23.3,1.9,1.0,2.9,.207,3.7,0.4,4.1,1.0
Pat Connaughton,SG,28,MIL,25,475,13.2,.570,.672,.063,5.0,15.9,10.6,9.0,1.7,2.3,5.1,12.2,0.8,0.5,1.3,.133,1.0,0.3,1.2,0.4
Quinn Cook,PG,27,LAL,15,51,12.4,.560,.524,.238,0.0,10.6,5.5,14.2,0.9,0.0,11.5,22.3,0.0,0.1,0.1,.090,-1.9,-1.4,-3.3,0.0
DeMarcus Cousins,C,30,HOU,25,506,15.1,.511,.552,.281,6.2,34.1,20.0,17.9,2.0,3.1,14.2,23.1,-0.1,1.1,1.0,.094,-1.5,1.9,0.4,0.3
Robert Covington,PF,30,POR,26,816,10.0,.511,.710,.097,2.5,19.1,10.4,7.5,2.5,2.7,12.2,11.6,0.1,0.8,0.9,.054,-2.6,0.9,-1.7,0.1
Torrey Craig,SF,30,MIL,15,175,11.6,.568,.486,.054,7.5,15.9,11.8,8.2,2.2,2.6,11.7,10.3,0.2,0.2,0.4,.123,-1.4,1.2,-0.2,0.1
Jae Crowder,PF,30,PHO,24,670,11.5,.540,.771,.154,1.7,18.6,10.3,10.6,1.6,0.7,7.7,16.6,0.4,0.9,1.3,.092,-0.3,0.6,0.3,0.4
Jarrett Culver,SG,21,MIN,16,339,10.7,.518,.279,.297,7.5,18.4,12.7,6.4,1.5,1.5,14.3,18.2,-0.1,0.3,0.1,.021,-4.2,-1.6,-5.8,-0.3
Seth Curry,SG,30,PHI,22,637,14.1,.652,.471,.196,0.9,6.2,3.6,13.2,1.3,0.8,12.3,16.7,1.2,0.5,1.7,.125,0.8,-1.2,-0.4,0.3
Stephen Curry,PG,32,GSW,29,987,25.6,.661,.578,.261,1.4,14.8,8.2,31.4,1.7,0.2,12.4,32.2,3.1,1.2,4.3,.210,7.5,0.0,7.6,2.4
Anthony Davis,PF,27,LAL,23,755,24.7,.588,.151,.339,7.2,20.9,14.3,15.5,2.0,4.6,9.3,27.9,1.6,1.7,3.3,.212,4.3,2.1,6.4,1.6
Ed Davis,C,31,MIN,19,264,12.2,.462,.000,.186,14.7,25.4,19.8,9.3,1.8,3.1,11.4,8.4,0.3,0.3,0.6,.117,-3.8,0.4,-3.4,-0.1
Terence Davis,SG,23,TOR,22,304,11.2,.563,.570,.078,2.1,11.3,6.5,10.0,1.9,1.0,12.5,21.2,0.0,0.3,0.3,.041,-2.0,-1.3,-3.3,-0.1
DeMar DeRozan,PF,31,SAS,25,835,21.7,.603,.143,.503,2.3,13.5,7.8,30.8,1.1,0.8,9.1,23.2,2.7,0.8,3.5,.199,3.9,-0.1,3.8,1.2
Hamidou Diallo,SG,22,OKC,28,673,15.9,.539,.138,.418,5.0,18.2,11.7,16.5,2.0,1.3,11.4,23.6,0.3,0.9,1.2,.085,-1.7,0.4,-1.3,0.1
Gorgui Dieng,C,31,MEM,19,336,18.6,.678,.426,.330,8.6,21.6,14.9,10.6,2.3,3.6,15.7,16.1,0.7,0.5,1.2,.169,1.2,0.8,2.0,0.3
Spencer Dinwiddie,SG,27,BRK,3,64,10.1,.536,.438,.375,0.0,21.5,11.4,17.4,1.5,1.3,21.2,16.0,0.0,0.1,0.1,.039,-3.4,2.0,-1.4,0.0
Donte DiVincenzo,SG,24,MIL,28,732,12.7,.536,.552,.085,4.3,13.5,9.1,13.4,2.2,0.7,11.7,16.7,0.6,0.8,1.4,.090,-0.3,-0.2,-0.4,0.3
Luka Dončić,PG,21,DAL,27,954,26.8,.586,.340,.392,2.7,24.2,13.4,47.5,1.4,1.8,14.5,36.0,2.5,0.8,3.4,.170,6.8,1.0,7.8,2.4
Luguentz Dort,SG,21,OKC,27,800,9.5,.531,.542,.248,2.5,9.8,6.2,7.3,1.5,0.8,11.4,19.4,-0.3,0.7,0.4,.024,-3.3,-1.2,-4.5,-0.5
Damyean Dotson,SG,26,CLE,24,490,9.9,.504,.532,.150,0.9,9.4,5.0,16.0,1.1,0.6,9.8,17.9,0.0,0.2,0.2,.020,-2.0,-1.2,-3.2,-0.2
Devon Dotson,PG,21,CHI,1,10,6.7,.500,.000,.000,0.0,10.9,5.6,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-0.001,-6.2,-2.3,-8.5,0.0
Sekou Doumbouya,PF,20,DET,24,314,6.1,.441,.382,.225,5.1,16.0,10.4,6.6,1.6,0.6,12.5,17.7,-0.4,0.3,-0.1,-0.022,-5.6,-2.0,-7.5,-0.4
PJ Dozier,SG,24,DEN,17,330,13.6,.576,.394,.266,5.5,18.6,12.0,9.3,1.3,2.9,11.0,15.5,0.4,0.3,0.7,.108,-0.3,-0.4,-0.8,0.1
