Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Goran Dragić,PG,34,MIA,17,451,13.4,.566,.400,.241,1.8,10.6,6.5,33.7,1.0,0.5,19.1,26.3,0.0,0.4,0.4,.042,-1.0,-2.3,-3.3,-0.1
Andre Drummond,C,27,CLE,25,722,20.9,.500,.021,.339,15.0,37.5,25.9,15.8,2.7,3.6,15.6,30.8,-0.6,1.3,0.7,.047,-0.5,0.2,-0.3,0.3
Jared Dudley,PF,35,LAL,6,22,11.5,1.500,1.000,.000,5.3,24.6,15.3,5.5,0.0,0.0,0.0,2.0,0.0,0.0,0.1,.178,2.2,-0.5,1.7,0.0
Kevin Durant,PF,32,BRK,19,679,25.1,.652,.315,.404,1.2,20.6,11.5,23.5,1.0,3.3,13.7,31.2,2.0,0.6,2.6,.182,5.4,0.0,5.4,1.2
Anthony Edwards,SG,19,MIN,29,817,10.5,.479,.403,.163,2.3,12.4,7.0,13.1,1.2,1.0,9.4,25.1,-0.8,0.4,-0.4,-0.022,-2.5,-2.6,-5.1,-0.6
Carsen Edwards,SG,22,BOS,13,134,12.2,.551,.545,.164,1.6,9.4,5.4,5.6,1.5,0.7,3.3,19.5,0.2,0.1,0.3,.096,-2.8,-1.6,-4.3,-0.1
CJ Elleby,SF,20,POR,12,96,12.2,.592,.621,.310,4.2,9.3,6.7,4.4,1.5,2.9,8.3,16.0,0.1,0.0,0.2,.089,-2.4,-0.5,-3.0,0.0
Wayne Ellington,SG,33,DET,21,481,12.8,.633,.769,.095,1.6,8.3,4.8,8.0,0.8,0.8,7.4,17.1,0.7,0.2,0.9,.092,1.9,-1.9,0.0,0.2
Joel Embiid,C,26,PHI,23,748,30.8,.661,.169,.649,6.7,28.9,18.2,16.6,1.9,3.3,13.3,33.6,2.9,1.3,4.3,.273,6.4,1.5,7.9,1.9
James Ennis,SF,30,ORL,20,438,12.7,.622,.369,.301,5.2,12.8,8.9,8.9,2.1,1.2,14.6,13.3,0.5,0.5,1.0,.110,-2.3,0.7,-1.6,0.0
Drew Eubanks,C,23,SAS,11,139,12.4,.500,.000,.432,5.1,23.0,13.8,3.8,0.3,9.2,10.2,15.1,0.0,0.2,0.2,.079,-3.9,1.1,-2.8,0.0
Dante Exum,SG,25,CLE,6,116,6.1,.428,.423,.077,1.8,14.8,8.1,15.5,1.7,1.6,20.7,12.5,-0.1,0.1,-0.1,-0.023,-4.8,1.7,-3.1,0.0
Tacko Fall,C,25,BOS,6,49,22.5,.612,.000,.667,17.8,30.3,23.9,0.0,0.0,15.1,6.1,14.4,0.1,0.1,0.2,.219,-0.1,1.6,1.4,0.0
Derrick Favors,C,29,UTA,27,444,20.6,.675,.010,.438,14.0,21.4,17.9,8.0,1.6,5.2,11.3,13.6,1.4,0.9,2.4,.257,0.4,2.2,2.6,0.5
Cristiano Felício,C,28,CHI,6,38,18.1,.731,.000,2.000,17.9,17.2,17.5,16.5,2.5,0.0,28.5,11.8,0.1,0.0,0.2,.195,1.8,1.8,3.6,0.1
Terrance Ferguson,SG,22,PHI,7,24,-5.9,.000,1.000,.000,0.0,4.4,2.3,9.7,0.0,0.0,25.0,7.0,-0.1,0.0,-0.1,-0.133,-10.3,-3.0,-13.3,-0.1
Bruno Fernando,C,22,ATL,15,132,7.4,.472,.091,.682,9.9,32.3,21.2,9.1,0.7,1.3,29.6,13.1,-0.1,0.2,0.0,.007,-4.7,-0.3,-5.0,-0.1
Yogi Ferrell,PG,27,CLE,2,40,12.7,.434,.429,.095,8.0,11.5,9.7,20.5,3.7,2.3,12.1,26.7,-0.1,0.0,0.0,-0.028,-1.9,0.4,-1.5,0.0
Dorian Finney-Smith,PF,27,DAL,19,583,11.0,.595,.693,.086,5.2,11.9,8.6,5.4,1.6,1.3,7.6,11.8,0.7,0.3,1.0,.085,-0.3,-0.6,-0.9,0.2
Malachi Flynn,PG,22,TOR,13,106,4.5,.356,.590,.103,1.0,8.6,4.7,20.5,1.8,0.0,8.9,18.0,-0.2,0.1,-0.1,-0.051,-6.7,-1.5,-8.1,-0.2
Bryn Forbes,SG,27,MIL,28,514,11.8,.629,.599,.099,1.1,5.4,3.3,3.4,0.6,0.0,8.3,18.7,0.6,0.2,0.8,.076,0.0,-2.7,-2.7,-0.1
Trent Forrest,PG,22,UTA,4,13,9.2,.347,1.000,1.000,0.0,7.8,4.1,9.0,7.5,0.0,0.0,9.5,0.0,0.0,0.0,.128,-8.5,7.1,-1.3,0.0
Evan Fournier,SF,28,ORL,15,430,17.5,.593,.482,.389,0.9,8.5,4.6,20.7,1.7,1.3,12.1,25.5,0.7,0.4,1.0,.116,1.4,-1.0,0.5,0.3
De'Aaron Fox,PG,23,SAC,26,860,19.9,.564,.304,.372,2.3,8.7,5.5,33.0,1.8,1.3,13.1,30.6,1.4,0.1,1.5,.081,2.8,-1.6,1.2,0.7
Tim Frazier,PG,30,MEM,3,33,0.3,.250,.250,.000,0.0,13.7,6.7,25.8,1.5,0.0,27.3,14.2,-0.1,0.0,-0.1,-0.120,-10.9,-2.6,-13.6,-0.1
Markelle Fultz,PG,22,ORL,8,215,12.2,.458,.154,.183,2.3,10.1,6.0,32.4,1.8,0.8,13.8,25.8,-0.2,0.2,0.0,-0.002,-2.9,-1.7,-4.6,-0.1
Wenyen Gabriel,PF,23,NOP,3,10,-1.4,.000,.333,.000,11.1,33.3,22.2,11.4,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.178,-7.1,-5.6,-12.7,0.0
Daniel Gafford,PF,22,CHI,23,330,17.6,.689,.000,.507,11.3,14.2,12.8,6.7,1.6,7.8,16.8,13.8,0.7,0.5,1.2,.172,-1.4,1.6,0.2,0.2
Danilo Gallinari,PF,32,ATL,16,315,12.5,.594,.570,.430,1.0,14.6,7.9,8.6,0.5,0.5,11.7,22.0,0.4,0.2,0.5,.083,-0.4,-2.2,-2.6,-0.1
Langston Galloway,SG,29,PHO,22,245,13.2,.650,.575,.219,1.9,8.9,5.4,8.6,0.8,0.0,8.0,15.9,0.5,0.2,0.7,.130,0.8,-0.7,0.0,0.1
Darius Garland,PG,21,CLE,21,679,12.9,.533,.288,.104,1.6,6.3,3.8,27.0,1.4,0.4,14.3,23.1,0.2,0.2,0.4,.028,-0.2,-1.7,-2.0,0.0
Marc Gasol,C,36,LAL,29,579,10.3,.550,.570,.250,4.6,18.5,11.8,11.5,1.0,5.3,17.8,10.1,0.4,1.2,1.5,.127,-2.3,2.5,0.2,0.3
Rudy Gay,PF,34,SAS,26,572,13.9,.524,.434,.167,4.2,20.6,12.2,10.1,1.5,1.9,9.8,23.0,-0.1,0.8,0.7,.058,-0.6,-0.7,-1.3,0.1
Paul George,SF,30,LAC,20,680,23.2,.662,.474,.254,2.2,17.8,10.2,25.7,1.7,1.2,16.4,28.6,1.8,0.8,2.6,.185,5.7,-0.4,5.4,1.3
Taj Gibson,PF,35,NYK,8,109,10.6,.530,.250,.300,10.8,13.2,12.0,5.2,0.9,2.7,8.1,10.0,0.1,0.1,0.3,.117,-3.1,0.2,-2.9,0.0
Harry Giles,C,22,POR,22,260,11.3,.486,.129,.290,9.8,35.6,22.1,10.2,0.9,3.2,18.6,14.2,0.0,0.3,0.3,.061,-4.3,-0.5,-4.7,-0.2
Shai Gilgeous-Alexander,SG,22,OKC,22,741,21.6,.612,.311,.404,2.1,14.4,8.4,33.0,1.2,1.7,13.5,27.4,1.7,0.8,2.4,.156,3.6,0.0,3.5,1.0
Anthony Gill,PF,28,WAS,10,65,7.9,.425,.700,.400,4.7,26.7,15.3,5.7,2.1,2.7,20.3,9.4,-0.1,0.1,0.0,.019,-4.2,-0.1,-4.3,0.0
Rudy Gobert,C,28,UTA,29,878,23.2,.644,.004,.676,12.9,33.2,23.5,6.3,0.7,7.1,12.8,18.0,2.2,2.1,4.3,.237,1.7,2.0,3.6,1.3
Brandon Goodwin,PG,25,ATL,22,280,8.1,.431,.510,.235,1.2,9.1,5.2,21.9,1.7,0.0,9.6,18.9,-0.1,0.2,0.0,.006,-3.2,-0.1,-3.4,-0.1
Aaron Gordon,PF,25,ORL,19,552,14.9,.528,.394,.376,6.0,20.4,12.9,22.5,1.2,2.6,17.6,23.3,-0.1,0.6,0.6,.050,0.5,0.1,0.6,0.4
Eric Gordon,SG,32,HOU,22,646,16.8,.612,.578,.311,1.1,7.0,4.0,15.3,0.9,1.5,11.1,24.9,1.0,0.6,1.6,.115,2.1,-1.0,1.1,0.5
Devonte' Graham,PG,25,CHO,25,821,12.1,.503,.652,.229,1.8,8.1,4.9,24.2,1.5,0.0,9.3,19.5,0.7,0.5,1.2,.071,-0.5,-1.4,-1.9,0.0
Jerami Grant,SF,26,DET,28,1017,18.7,.579,.373,.343,2.4,14.3,8.1,14.2,1.1,3.1,7.7,26.5,1.9,0.9,2.7,.130,3.2,-0.6,2.6,1.1
Danny Green,SF,33,PHI,29,824,9.7,.550,.757,.063,3.9,10.0,7.1,8.0,1.8,2.3,14.9,13.7,0.1,0.9,1.0,.061,-1.1,-0.1,-1.2,0.2
Draymond Green,PF,30,GSW,24,695,10.3,.431,.331,.262,2.1,17.9,10.2,36.2,2.2,1.9,30.3,12.7,-0.1,1.1,1.0,.068,-3.3,2.3,-1.1,0.2
JaMychal Green,PF,30,DEN,24,511,14.6,.585,.536,.179,9.0,24.2,16.6,6.5,1.4,1.3,11.9,18.6,0.7,0.6,1.2,.116,0.3,-2.0,-1.7,0.0
Javonte Green,SG,27,BOS,18,276,12.7,.595,.339,.468,6.7,11.6,9.1,4.0,3.0,0.7,12.8,13.3,0.3,0.3,0.6,.111,-1.4,1.0,-0.4,0.1
Jeff Green,PF,34,BRK,30,780,12.2,.647,.534,.218,2.1,13.3,8.1,7.2,1.2,0.8,9.6,13.9,1.2,0.4,1.6,.098,-0.4,-1.0,-1.4,0.1
Josh Green,SG,20,DAL,17,212,6.4,.514,.333,.306,6.2,14.1,10.1,6.2,0.9,0.4,21.2,10.7,-0.1,0.1,0.0,.005,-4.6,-0.6,-5.2,-0.2
Blake Griffin,PF,31,DET,20,626,10.0,.491,.559,.279,1.2,18.1,9.3,18.8,1.1,0.3,11.4,19.4,-0.1,0.5,0.4,.027,-1.5,-1.1,-2.6,-0.1
Kyle Guy,PG,23,SAC,10,79,11.8,.408,.500,.250,4.1,12.6,8.3,21.5,2.4,0.0,2.7,19.7,0.0,0.0,0.0,.029,-2.1,-0.8,-3.0,0.0
Rui Hachimura,PF,22,WAS,19,555,12.9,.549,.255,.378,4.0,15.8,9.7,9.9,1.0,0.3,7.7,18.4,0.6,0.3,0.8,.071,-1.0,-2.0,-3.0,-0.1
Ashton Hagans,PG,21,MIN,2,4,-12.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.352,-13.8,-7.9,-21.7,0.0
Tyrese Haliburton,PG,20,SAC,25,734,17.5,.629,.548,.071,3.7,9.6,6.6,24.9,2.0,1.7,14.3,16.7,1.6,0.2,1.7,.114,2.9,-0.7,2.3,0.8
Josh Hall,SF,20,OKC,7,51,-2.3,.285,.444,.389,2.1,16.1,9.2,18.6,0.0,0.0,15.9,21.3,-0.2,0.0,-0.2,-0.197,-10.6,-3.7,-14.4,-0.2
R.J. Hampton,PG,19,DEN,21,180,7.3,.473,.340,.128,5.6,19.6,12.6,7.2,1.4,1.1,16.8,14.4,-0.1,0.2,0.0,.010,-4.8,-0.9,-5.6,-0.2
Tim Hardaway Jr.,SG,28,DAL,27,825,14.2,.579,.586,.181,0.8,10.7,5.7,8.0,1.1,0.5,6.0,22.0,0.9,0.3,1.2,.067,1.1,-2.0,-0.9,0.2
James Harden,SG,31,TOT,24,903,24.2,.648,.500,.434,2.3,18.5,10.7,44.7,1.3,1.7,18.5,26.5,3.3,0.9,4.1,.220,6.0,-0.2,5.8,1.8
James Harden,SG,31,HOU,8,290,22.7,.613,.533,.444,1.8,13.3,7.5,46.8,1.1,1.8,17.4,28.7,0.8,0.3,1.1,.190,5.6,-1.0,4.6,0.5
James Harden,SG,31,BRK,16,613,24.9,.668,.482,.429,2.5,20.9,12.3,43.7,1.4,1.6,19.2,25.4,2.5,0.5,3.0,.235,6.2,0.1,6.4,1.3
Maurice Harkless,SF,27,MIA,10,109,4.6,.551,.800,.200,1.1,7.8,4.6,8.5,0.9,2.8,15.5,5.3,0.0,0.1,0.1,.052,-3.1,0.6,-2.5,0.0
Jared Harper,PG,23,NYK,2,5,-11.9,.532,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,51.5,34.3,-0.1,0.0,0.0,-0.467,-15.0,-8.5,-23.5,0.0
Montrezl Harrell,C,27,LAL,29,714,21.3,.676,.017,.429,10.7,17.7,14.3,6.9,1.4,2.5,11.5,19.6,2.1,1.3,3.4,.227,1.8,0.5,2.3,0.8
Gary Harris,SG,26,DEN,19,581,9.3,.544,.481,.192,2.5,6.6,4.6,7.2,1.4,0.7,7.6,13.7,0.4,0.3,0.7,.061,-2.1,-1.5,-3.6,-0.2
Jalen Harris,SG,22,TOR,2,4,-10.5,0,0,0,26.7,0.0,13.8,0.0,0.0,0.0,100.0,10.7,0.0,0.0,0.0,-0.200,-16.5,-4.8,-21.2,0.0
Joe Harris,SF,29,BRK,30,928,14.9,.688,.631,.073,2.3,9.9,6.3,8.3,0.8,0.6,7.2,16.3,2.1,0.3,2.4,.123,2.1,-1.7,0.5,0.6
Tobias Harris,PF,28,PHI,26,896,19.7,.615,.270,.225,4.2,19.9,12.3,14.3,1.1,2.2,10.8,23.2,1.9,1.1,3.0,.160,2.9,-0.1,2.8,1.1
Shaquille Harrison,SG,27,UTA,16,54,7.0,.393,.053,.316,6.2,11.3,8.8,20.0,1.8,0.0,18.8,21.2,-0.1,0.1,0.0,-0.019,-6.4,-1.2,-7.6,-0.1
Josh Hart,SF,25,NOP,28,785,12.5,.577,.590,.231,4.1,25.5,14.8,10.0,1.4,0.7,9.7,12.9,1.1,0.6,1.6,.099,-0.8,0.0,-0.8,0.2
Isaiah Hartenstein,C,22,DEN,18,157,19.1,.568,.000,.491,18.6,18.1,18.4,9.3,2.2,8.0,17.3,22.4,0.2,0.3,0.5,.140,-3.6,-0.1,-3.7,-0.1
Jaxson Hayes,C,20,NOP,21,246,15.5,.662,.000,.473,11.7,22.6,17.1,5.0,1.4,2.9,16.4,13.7,0.5,0.2,0.7,.130,-2.0,0.0,-2.0,0.0
Killian Hayes,PG,19,DET,7,148,-1.4,.334,.426,.043,0.7,5.5,3.0,24.2,0.7,0.0,26.2,19.0,-0.6,0.0,-0.5,-0.176,-9.3,-4.2,-13.6,-0.4
Gordon Hayward,SF,30,CHO,26,922,18.7,.598,.313,.273,2.7,13.9,8.2,17.5,1.5,1.2,10.2,24.9,1.7,0.8,2.5,.132,2.6,-0.8,1.8,0.9
Juan Hernangómez,PF,25,MIN,13,242,10.5,.511,.587,.187,5.5,24.4,14.4,4.1,1.0,0.7,6.9,15.1,0.1,0.2,0.2,.046,-2.2,-2.3,-4.5,-0.2
Willy Hernangómez,C,26,NOP,13,222,20.6,.578,.076,.348,17.0,25.0,21.0,9.5,1.3,2.3,6.2,15.6,0.7,0.2,0.8,.181,1.8,-2.0,-0.2,0.1
Tyler Herro,SG,21,MIA,20,687,12.1,.535,.420,.169,1.6,18.1,10.3,18.8,0.6,1.5,14.1,23.9,-0.4,0.7,0.3,.021,-1.2,-1.4,-2.6,-0.1
Buddy Hield,SG,28,SAC,27,940,10.7,.540,.736,.123,1.2,14.1,7.6,11.9,1.2,0.8,11.6,20.7,0.1,0.1,0.2,.009,-0.7,-2.0,-2.8,-0.2
George Hill,PG,34,OKC,14,369,16.0,.630,.475,.208,2.3,5.9,4.1,17.9,1.5,0.5,8.4,16.8,0.8,0.3,1.1,.137,0.9,-0.5,0.4,0.2
Solomon Hill,PF,29,ATL,28,532,6.4,.494,.750,.083,2.3,10.8,6.6,6.1,1.6,1.0,10.8,11.2,-0.1,0.4,0.3,.029,-2.9,0.1,-2.8,-0.1
Nate Hinton,SG,21,DAL,6,19,-6.5,.288,.385,.154,0.0,0.0,0.0,0.0,2.6,5.0,12.6,36.6,-0.2,0.0,-0.2,-0.441,-12.2,-5.6,-17.8,-0.1
Aaron Holiday,PG,24,IND,29,576,7.1,.464,.425,.132,1.2,6.2,3.7,12.6,1.2,0.6,9.0,19.2,-0.5,0.3,-0.1,-0.012,-4.1,-1.8,-5.9,-0.6
Jrue Holiday,PG,30,MIL,23,747,19.9,.593,.371,.144,4.2,11.2,7.8,22.5,2.8,1.7,10.2,19.9,1.9,0.9,2.8,.180,2.7,1.1,3.8,1.1
Justin Holiday,SG,31,IND,29,935,12.4,.628,.676,.174,2.5,11.9,7.3,7.0,1.8,0.9,7.3,13.3,1.3,0.9,2.2,.114,0.4,0.1,0.5,0.6
Richaun Holmes,C,27,SAC,25,739,18.2,.677,.024,.276,9.1,19.6,14.3,8.8,1.1,4.7,13.9,15.8,1.7,0.4,2.1,.136,-0.6,-0.1,-0.7,0.2
Rodney Hood,SF,28,POR,23,436,5.0,.427,.359,.046,0.9,8.9,4.8,8.7,1.7,0.4,11.9,14.9,-0.6,0.1,-0.4,-0.047,-6.3,-1.7,-8.0,-0.7
Al Horford,C,34,OKC,19,536,17.6,.547,.425,.073,3.1,22.1,12.7,21.2,1.6,2.6,8.6,22.5,0.4,0.8,1.2,.106,1.8,1.4,3.2,0.7
Talen Horton-Tucker,SG,20,LAL,25,413,11.7,.521,.287,.187,2.5,13.4,8.1,15.1,2.5,2.5,16.0,20.3,-0.2,0.8,0.7,.076,-3.2,1.7,-1.6,0.1
Danuel House,SF,27,HOU,17,474,8.9,.496,.604,.216,2.2,11.7,6.9,10.7,1.3,1.6,9.5,15.1,0.0,0.6,0.5,.052,-2.9,-0.2,-3.1,-0.1
Dwight Howard,C,35,PHI,29,483,13.9,.575,.073,.782,18.3,31.8,25.3,5.3,1.2,4.6,26.8,17.6,0.0,0.9,0.9,.088,-4.4,-0.7,-5.1,-0.4
Markus Howard,SG,21,DEN,14,48,-6.4,.259,.724,.000,0.0,11.8,5.9,13.8,2.1,0.0,12.1,29.9,-0.3,0.0,-0.3,-0.310,-14.4,-5.5,-20.0,-0.2
Kevin Huerter,SG,22,ATL,28,890,11.9,.539,.537,.080,2.5,9.8,6.2,17.8,1.9,0.5,10.4,16.6,0.7,0.6,1.4,.075,-0.4,0.1,-0.3,0.4
Elijah Hughes,SF,22,UTA,6,27,9.8,.477,.667,.267,0.0,15.0,7.9,16.7,1.8,3.0,19.3,33.0,-0.1,0.0,0.0,-0.059,-3.2,-1.3,-4.5,0.0
De'Andre Hunter,SF,23,ATL,18,579,17.5,.640,.390,.348,3.0,14.9,9.0,10.9,1.4,1.3,9.4,19.6,1.3,0.5,1.8,.151,2.2,0.3,2.5,0.7
Chandler Hutchison,SF,24,CHI,7,64,0.5,.344,.167,.111,1.8,32.4,17.4,7.8,0.7,0.0,20.9,15.8,-0.2,0.1,-0.1,-0.104,-9.4,-1.5,-10.9,-0.1
Serge Ibaka,C,31,LAC,29,701,18.2,.593,.287,.164,9.1,21.5,15.5,10.6,0.5,4.6,11.7,20.5,1.2,0.9,2.1,.143,1.1,-0.9,0.2,0.4
Andre Iguodala,SF,37,MIA,26,552,8.9,.492,.766,.099,2.8,15.6,9.6,15.4,2.4,2.2,18.9,11.5,-0.2,0.8,0.6,.053,-2.5,2.1,-0.4,0.2
Joe Ingles,SF,33,UTA,25,665,16.7,.694,.675,.173,1.8,11.6,6.9,25.2,0.7,0.6,16.2,16.3,2.0,0.8,2.7,.198,3.3,0.8,4.1,1.0
Brandon Ingram,SF,23,NOP,28,974,20.4,.592,.356,.308,1.9,15.2,8.5,21.6,0.9,2.8,11.0,27.4,2.3,0.5,2.8,.137,4.3,-1.2,3.1,1.2
Kyrie Irving,PG,28,BRK,20,707,25.3,.647,.346,.213,3.0,11.1,7.3,26.6,1.4,1.7,9.9,29.6,2.6,0.4,3.0,.203,6.1,-0.8,5.3,1.3
Wesley Iwundu,SF,26,DAL,17,232,3.6,.367,.500,.217,2.4,13.3,7.8,4.4,1.5,0.8,7.4,10.3,-0.3,0.1,-0.1,-0.028,-6.2,-0.2,-6.4,-0.3
Frank Jackson,PG,22,DET,7,39,1.5,.344,.625,.000,0.0,15.0,7.2,30.0,1.3,0.0,20.0,22.2,-0.1,0.0,-0.1,-0.143,-7.0,-2.2,-9.2,-0.1
Josh Jackson,SG,23,DET,26,627,12.2,.530,.420,.325,3.3,15.9,9.3,13.3,2.0,3.5,16.5,25.9,-0.7,0.7,0.1,.005,-2.2,-0.2,-2.4,-0.1
Justin Jackson,SF,25,OKC,18,324,12.1,.569,.509,.155,2.6,11.1,6.9,15.6,1.0,0.3,12.7,19.0,0.2,0.3,0.4,.060,-1.2,-0.6,-1.8,0.0
Reggie Jackson,SG,30,LAC,27,562,13.3,.534,.462,.196,1.9,12.4,7.3,21.8,1.6,0.5,10.7,19.0,0.7,0.5,1.2,.103,-0.9,-0.7,-1.6,0.1
Justin James,SF,24,SAC,8,50,6.6,.360,.267,.467,4.3,11.1,7.7,7.9,1.0,1.7,0.0,15.4,-0.1,0.0,-0.1,-0.063,-4.3,-3.6,-7.9,-0.1
LeBron James,PG,36,LAL,29,1006,24.2,.600,.355,.318,2.0,23.6,13.2,38.4,1.4,1.3,14.8,31.4,2.3,1.9,4.2,.200,5.8,1.3,7.2,2.3
DaQuan Jeffries,SG,23,SAC,3,41,3.5,.250,.500,.000,5.3,10.8,8.0,6.1,3.5,4.1,14.3,14.6,-0.1,0.0,-0.1,-0.123,-7.7,-1.1,-8.9,-0.1
Isaiah Joe,SG,21,PHI,16,212,10.3,.546,.789,.070,2.1,7.5,4.9,9.6,1.3,1.7,6.4,15.6,0.2,0.2,0.4,.090,-1.4,-0.6,-2.0,0.0
Cameron Johnson,PF,24,PHO,27,686,13.2,.588,.687,.133,2.8,12.8,7.9,8.3,1.2,1.0,7.8,17.5,0.8,0.7,1.5,.105,1.1,-0.4,0.7,0.5
James Johnson,PF,33,DAL,23,424,12.3,.550,.407,.195,2.8,15.6,9.2,12.4,2.3,4.3,15.8,16.4,0.0,0.5,0.5,.052,-2.0,1.9,-0.1,0.2
Keldon Johnson,SF,21,SAS,27,812,15.3,.556,.260,.321,5.8,18.5,12.0,10.9,1.2,1.5,10.2,20.7,0.7,1.0,1.7,.101,-0.3,-0.7,-1.0,0.2
Stanley Johnson,PF,24,TOR,25,368,9.6,.558,.597,.226,4.1,15.2,9.5,12.7,2.7,2.2,20.9,10.0,0.2,0.5,0.6,.084,-2.5,2.0,-0.5,0.1
Tyler Johnson,SG,28,BRK,13,159,11.1,.616,.681,.043,1.5,8.7,5.3,9.0,1.2,0.0,7.7,14.1,0.2,0.0,0.3,.079,-0.7,-1.6,-2.3,0.0
Nikola Jokić,C,25,DEN,28,1006,31.4,.656,.207,.300,9.3,25.9,17.5,40.6,2.2,1.7,14.1,29.4,4.9,1.4,6.3,.300,9.1,2.3,11.4,3.4
Damian Jones,C,25,PHO,11,78,3.9,.466,.100,.900,10.2,12.5,11.4,0.0,0.6,5.7,26.4,10.9,-0.1,0.1,0.0,.019,-8.7,0.2,-8.5,-0.1
Derrick Jones Jr.,SF,23,POR,24,650,11.3,.556,.434,.343,6.9,11.8,9.3,3.5,1.5,3.2,8.9,11.9,0.7,0.4,1.1,.078,-2.3,-0.5,-2.8,-0.1
Mason Jones,SG,22,HOU,18,201,11.8,.584,.569,.431,1.6,17.6,9.5,18.3,1.4,0.0,19.7,22.6,-0.1,0.2,0.2,.046,-1.9,-0.7,-2.6,0.0
Tre Jones,PG,21,SAS,9,27,19.6,.634,.083,.417,14.9,0.0,7.7,5.8,0.0,0.0,12.3,25.7,0.1,0.0,0.1,.151,2.7,-4.3,-1.5,0.0
Tyus Jones,PG,24,MEM,24,565,14.2,.466,.354,.078,2.8,10.2,6.4,30.5,2.7,0.5,10.4,16.7,0.4,0.5,1.0,.083,-0.8,0.3,-0.6,0.2
DeAndre Jordan,C,32,BRK,28,606,16.7,.764,.000,.372,9.7,25.7,18.1,11.6,0.7,5.2,26.7,12.8,1.1,0.7,1.8,.139,-0.4,1.5,1.1,0.5
Cory Joseph,PG,29,SAC,27,534,10.8,.551,.355,.174,2.2,9.3,5.7,16.4,2.0,0.9,14.8,15.6,0.3,0.1,0.4,.034,-3.1,-0.5,-3.5,-0.2
Mfiondu Kabengele,PF,23,LAC,17,69,-0.8,.343,.522,.174,1.7,15.8,9.0,5.5,1.4,2.6,16.8,19.1,-0.3,0.1,-0.2,-0.121,-11.3,-2.1,-13.4,-0.2
Frank Kaminsky,C,27,PHO,20,316,16.2,.531,.339,.200,6.8,24.0,15.6,18.4,0.6,2.8,7.4,19.2,0.5,0.4,0.9,.138,0.8,1.5,2.3,0.3
